Shop;DayOfYear;TimePeriod;pharm_ItemsSold;pharm_Revenue
31;18;16;20;51.23
19;52;16;20;66.32
19;38;16;20;47.69
19;1;16;20;46.16
47;86;16;20;76.25
21;27;16;26;76.67
21;18;16;26;71.43
17;67;16;26;64.37
17;23;16;26;67.88
17;26;16;26;64.48
20;30;16;26;77.5
25;37;16;26;101.45
25;77;16;26;76.18
25;13;16;26;73.53
23;66;16;26;61.07
23;72;16;26;70.48
38;25;16;26;49.56
36;61;16;26;105.36
36;32;16;26;90.7
34;19;16;26;81.23
34;28;16;26;88.9
18;32;16;26;70.86
36;58;16;26;82.5
37;63;16;26;89.37
37;69;16;26;112.83
37;57;16;26;58.32
36;85;16;26;81.54
36;17;16;26;78.42
36;33;16;26;62.86
28;72;16;26;80.85
28;57;16;26;88.65
28;49;16;26;85.58
28;16;16;26;91.62
28;20;16;26;79.94
28;2;16;26;72.73
28;7;16;26;76.56
47;89;16;26;109.25
48;49;16;26;85.17
48;46;16;26;74.15
22;59;16;26;71.45
22;52;16;26;69.62
22;86;16;26;91.41
22;25;16;26;71.59
35;39;16;26;86.21
35;33;16;26;106.24
35;17;16;26;79.16
35;78;16;26;57.85
35;43;16;26;91.42
26;44;16;26;90.66
26;89;16;26;68.85
26;81;16;26;94.72
26;80;16;26;100.24
26;85;16;26;62.86
26;35;16;26;80.47
33;83;16;26;90.31
33;92;16;26;72.52
33;64;16;26;83.61
33;13;16;26;59.54
31;89;16;26;86.25
31;44;16;26;85.97
31;46;16;26;75.25
31;14;16;26;90.48
31;64;16;26;67.17
19;82;16;26;61.63
19;87;16;26;63.97
19;25;16;26;74.84
19;6;16;26;62.67
19;15;16;26;63.91
28;70;16;26;80.24
47;61;16;26;84.5
47;90;16;26;72.69
47;42;16;26;75.85
18;38;16;26;73.81
27;85;16;13;39.56
27;46;16;13;35.35
27;56;16;13;34.71
27;69;16;13;38.11
21;42;16;13;58.4
21;34;16;13;48.54
17;90;16;13;26.97
17;45;16;13;42.36
17;59;16;13;49.88
17;28;16;13;29.17
17;32;16;13;40.85
17;84;16;13;53.58
17;72;16;13;40.22
20;27;16;13;43.25
20;14;16;13;32.83
20;47;16;13;28.26
20;40;16;13;53.5
20;59;16;13;41.9
20;36;16;13;30.46
25;58;16;13;41.37
25;60;16;13;35.27
25;61;16;13;47.13
25;25;16;13;38.06
25;7;16;13;34.3
23;10;16;13;47.06
23;16;16;13;33.08
23;81;16;13;27.74
23;26;16;13;33.05
23;4;16;13;20.64
38;50;16;13;44.49
38;79;16;13;38.3
38;2;16;13;36.5
38;32;16;13;26.52
38;74;16;13;35.42
38;67;16;13;30.1
38;14;16;13;45.88
38;21;16;13;32.95
37;91;16;13;39.35
37;65;16;13;33.09
37;46;16;13;42.9
34;4;16;13;35.59
34;15;16;13;45.52
34;54;16;13;39.39
34;8;16;13;31.35
18;87;16;13;49.3
18;51;16;13;32.16
18;27;16;13;41.74
24;74;16;13;54.07
24;33;16;13;34.47
36;76;16;13;47.16
28;44;16;13;43.31
36;65;16;13;46.56
36;68;16;13;35.27
31;84;16;13;36.82
31;90;16;13;31.66
31;37;16;13;33.94
31;48;16;13;18.59
19;55;16;13;51.92
19;27;16;13;45.31
19;35;16;13;30.12
19;42;16;13;40.58
19;80;16;13;64.34
47;76;16;13;30.88
18;54;16;13;34.52
34;58;16;13;40.01
34;61;16;13;39.04
34;91;16;13;43.45
34;24;16;13;41.58
27;81;16;18;35.18
27;7;16;18;52.36
27;22;16;18;54.99
27;30;16;18;51.27
27;37;16;18;51.34
27;15;16;18;47.42
27;29;16;18;49.66
27;87;16;18;52.17
27;83;16;18;72.06
27;21;16;18;62.48
21;10;16;18;54.69
21;2;16;18;55.69
21;7;16;18;43.32
17;82;16;18;35.74
20;41;16;18;52.38
20;12;16;18;68.2
20;48;16;18;44.23
20;90;16;18;39.28
25;11;16;18;39.97
25;34;16;18;60.63
23;70;16;18;50.22
23;80;16;18;55.63
23;67;16;18;52.82
23;88;16;18;63.59
23;64;16;18;59.15
38;52;16;18;40.62
38;15;16;18;67.56
38;30;16;18;45.61
37;30;16;18;54.04
37;23;16;18;51.63
37;77;16;18;62.6
37;88;16;18;42.37
34;56;16;18;27.76
34;73;16;18;63.56
18;67;16;18;59.13
18;8;16;18;60.89
24;88;16;18;50.86
24;44;16;18;45.97
24;45;16;18;47.36
24;78;16;18;70.64
24;52;16;18;61.45
37;64;16;18;49.01
37;75;16;18;58.07
36;25;16;18;67.1
28;58;16;18;45.81
47;53;16;18;43.5
47;45;16;18;51.96
22;90;16;18;60.46
33;18;16;18;52.33
33;44;16;18;48.2
33;61;16;18;75.04
31;85;16;18;34.69
31;13;16;18;50.52
31;88;16;18;38.07
19;70;16;18;64.33
19;90;16;18;69.47
19;3;16;18;58.71
28;48;16;18;73.33
47;16;16;18;38.37
47;68;16;18;66.36
18;12;16;18;45.64
18;19;16;18;88.34
18;28;16;18;35.13
34;68;16;18;51.48
34;39;16;18;52.89
34;40;16;18;71.32
27;32;16;17;38.89
27;31;16;17;51.69
27;89;16;17;38.84
27;67;16;17;66.88
27;79;16;17;51.15
27;33;16;17;62.92
27;38;16;17;68.54
21;52;16;17;48.97
21;14;16;17;57.66
17;52;16;17;41.84
17;63;16;17;48.39
17;46;16;17;49
17;33;16;17;62.08
17;83;16;17;44.45
17;6;16;17;40.75
20;68;16;17;45.68
20;56;16;17;51.2
20;78;16;17;42.96
20;10;16;17;50.74
20;71;16;17;50.91
20;52;16;17;52.72
20;21;16;17;48.3
25;50;16;17;64.26
25;2;16;17;34.58
25;64;16;17;51.27
25;35;16;17;53.09
25;82;16;17;69.56
23;18;16;17;50.81
23;27;16;17;64.24
38;71;16;17;46.58
38;88;16;17;66.9
38;26;16;17;48.34
38;16;16;17;44.16
38;34;16;17;39.48
38;5;16;17;41.59
37;5;16;17;25.52
34;22;16;17;71.77
34;13;16;17;41.67
18;4;16;17;53.34
24;51;16;17;60.57
24;3;16;17;58.5
37;60;16;17;58.61
37;84;16;17;60.62
37;87;16;17;40.72
37;89;16;17;63.69
47;41;16;17;40.23
36;12;16;17;64.44
28;82;16;17;61.18
36;57;16;17;61.19
36;59;16;17;41.26
36;13;16;17;34.19
47;12;16;17;59.92
48;91;16;17;49.44
35;71;16;17;47.01
33;57;16;17;55.29
19;81;16;17;42.25
19;53;16;17;44.84
19;7;16;17;45.26
19;61;16;17;52.3
19;34;16;17;34.68
19;31;16;17;49.98
47;75;16;17;46.17
47;34;16;17;47.6
18;24;16;17;21.28
34;60;16;17;73.79
27;47;16;16;57.82
27;60;16;16;36.57
27;88;16;16;41.78
27;23;16;16;51.69
27;70;16;16;43.9
21;91;16;16;49.75
21;49;16;16;63.73
21;63;16;16;66.99
17;62;16;16;56.69
17;24;16;16;61.52
17;71;16;16;50.33
17;89;16;16;65.91
17;21;16;16;54.35
20;76;16;16;28.41
20;39;16;16;46.82
20;42;16;16;57.71
20;24;16;16;54.69
25;51;16;16;35.84
25;20;16;16;42.86
23;15;16;16;50.24
23;49;16;16;66.19
23;9;16;16;58.4
23;78;16;16;56.6
38;47;16;16;62.1
36;63;16;16;38.13
36;75;16;16;40.31
36;77;16;16;59.05
36;6;16;16;32.99
37;62;16;16;51.21
34;59;16;16;45.24
34;11;16;16;55.38
18;57;16;16;48.71
24;81;16;16;55.62
24;65;16;16;60.68
37;18;16;16;78.71
37;51;16;16;58.43
34;81;16;16;70.43
36;66;16;16;44.82
47;58;16;16;51.82
47;69;16;16;45.62
48;70;16;16;52.02
35;79;16;16;57.87
35;80;16;16;48.53
26;68;16;16;49.67
33;45;16;16;55.96
33;30;16;16;46.82
33;9;16;16;42.04
33;17;16;16;56.52
33;46;16;16;59.91
31;86;16;16;50.31
31;32;16;16;55.8
31;87;16;16;52.9
19;78;16;16;51.69
19;26;16;16;55.57
19;67;16;16;36.89
19;2;16;16;42.87
19;46;16;16;46.55
28;13;16;16;57.31
47;31;16;16;57.03
18;23;16;16;46.57
18;75;16;16;50.26
34;78;16;16;50.17
34;64;16;16;53.98
34;16;16;16;41.93
34;21;16;16;52.73
27;39;16;22;52.58
27;40;16;31;70.25
27;52;16;23;43.42
27;54;16;28;87.94
27;57;16;27;72.27
27;58;16;10;19.03
27;64;16;23;63.51
27;68;16;21;65.98
27;77;16;12;33.87
27;66;16;11;31.09
27;45;16;22;62.71
27;50;16;22;84.42
27;73;16;22;37.32
27;16;16;21;55.83
27;25;16;25;88.38
27;36;16;22;46.5
27;35;16;28;96.74
27;82;16;25;71.79
27;42;16;30;107.48
27;49;16;11;29.32
27;65;16;25;71.22
27;75;16;14;30.06
27;78;16;31;74.16
27;86;16;14;63.01
27;17;16;31;114.17
27;3;16;41;132.02
27;4;16;33;100.93
27;5;16;34;133.37
27;12;16;60;212.38
27;26;16;42;143.79
27;8;16;27;89.78
27;10;16;36;108.56
27;76;16;32;82.08
27;41;16;27;83.02
27;48;16;33;101.69
27;34;16;21;68.54
27;6;16;23;70.53
27;14;16;21;63.74
27;27;16;27;74.79
27;20;16;37;118.85
21;76;16;21;69.17
21;79;16;57;134.99
21;68;16;11;31.73
21;87;16;40;130.51
21;39;16;27;85.1
21;43;16;41;103.06
21;15;16;47;160.1
21;21;16;34;111.18
21;17;16;39;142.62
21;37;16;44;119.74
21;38;16;52;166.9
21;40;16;43;91.12
21;44;16;44;140.08
21;61;16;34;80.2
21;65;16;54;180.05
21;67;16;34;80.55
21;81;16;38;122.31
21;58;16;33;83.09
21;41;16;28;75.58
21;45;16;42;118.6
21;50;16;39;108.76
21;55;16;29;73.58
21;59;16;34;102.96
21;75;16;48;121.92
21;83;16;10;21.47
21;92;16;10;25.84
21;11;16;41;131.37
21;12;16;36;96.92
21;20;16;45;132.98
21;23;16;45;112.18
21;28;16;27;93.22
21;29;16;42;149.34
21;32;16;37;113.36
21;16;16;44;105.96
21;19;16;44;119.86
21;36;16;28;71.4
21;3;16;25;73.99
21;4;16;23;71.02
21;5;16;34;102.95
21;24;16;35;95.87
21;82;16;31;100.09
21;46;16;36;102.71
21;47;16;45;107.33
21;48;16;31;84.54
21;51;16;39;132.06
21;64;16;34;122.67
21;66;16;53;172.04
21;72;16;30;103.53
21;73;16;23;71.41
21;74;16;33;76.98
21;88;16;23;76.97
21;53;16;36;119.02
21;54;16;11;29.12
21;57;16;28;69.64
21;78;16;21;80.88
21;80;16;43;134.7
21;85;16;21;57.13
21;89;16;25;67.98
21;1;16;14;39.75
21;6;16;25;83.87
21;22;16;40;105.83
21;25;16;47;113.5
21;33;16;30;78.66
21;9;16;49;166.62
21;13;16;31;110.32
21;26;16;34;77.42
21;30;16;34;88.32
17;40;16;23;73.48
17;44;16;29;95.92
17;53;16;23;76.2
17;64;16;12;35.04
17;68;16;8;34.62
17;74;16;29;65.15
17;79;16;25;65.66
17;80;16;22;56.7
17;39;16;8;34.95
17;41;16;22;53.59
17;48;16;8;25.09
17;51;16;22;79.75
17;61;16;21;80.52
17;73;16;10;38.95
17;78;16;12;39.09
17;87;16;3;6.44
17;91;16;4;8.89
17;60;16;10;35.48
17;10;16;21;63.34
17;22;16;35;116.11
17;29;16;38;98.27
17;31;16;25;73.9
17;38;16;12;41.71
17;3;16;14;43.64
17;25;16;21;48.31
17;1;16;12;25.51
17;4;16;14;30.78
17;12;16;27;51.8
17;17;16;22;88.41
17;18;16;32;95.97
17;27;16;14;57.92
17;30;16;33;115.79
17;35;16;9;23.73
17;37;16;23;62.63
17;13;16;23;64.85
17;75;16;14;55.32
17;92;16;23;73.21
17;81;16;10;26.24
17;85;16;21;50.96
17;88;16;22;70.76
17;77;16;12;36.08
17;57;16;37;122.19
17;65;16;12;36.16
17;86;16;14;45.34
17;19;16;21;62.65
17;34;16;32;98.13
17;47;16;12;39.02
17;56;16;14;40.33
17;76;16;9;27.06
17;8;16;30;112.25
17;7;16;14;36.94
20;83;16;12;32.6
20;63;16;8;24.87
20;53;16;28;86.97
20;69;16;5;10.31
20;16;16;37;96.17
20;6;16;11;42.01
20;23;16;29;84
20;46;16;12;38.11
20;50;16;28;79.91
20;62;16;10;33.05
20;70;16;14;37.47
20;72;16;11;33.45
20;77;16;21;67.21
20;49;16;14;44.99
20;54;16;8;28.06
20;15;16;35;109.04
20;37;16;12;46.25
20;7;16;12;26.62
20;11;16;28;77.62
20;22;16;25;73.8
20;29;16;22;57.49
20;31;16;23;59.02
20;82;16;10;22.14
20;43;16;25;81.53
20;51;16;9;34.03
20;55;16;14;33.94
20;60;16;12;38.55
20;64;16;36;81.06
20;79;16;21;78.35
20;80;16;8;27.7
20;88;16;14;43.01
20;81;16;11;24.8
20;61;16;9;29.48
20;73;16;12;32.25
20;87;16;11;38.53
20;92;16;11;38.68
20;84;16;10;50.25
20;17;16;28;81.02
20;19;16;53;153.27
20;33;16;33;111.69
20;35;16;9;28.35
20;4;16;35;99.29
20;2;16;33;114.67
20;8;16;37;113.83
20;20;16;25;48.8
25;47;16;10;32.64
25;62;16;10;34.85
25;66;16;8;16.77
25;67;16;23;68.09
25;71;16;21;80.06
25;43;16;11;36.25
25;46;16;7;17.81
25;54;16;29;100.64
25;79;16;28;100.79
25;15;16;25;61.9
25;3;16;38;124.17
25;22;16;11;35.51
25;27;16;27;97.21
25;30;16;14;43
25;18;16;25;55.29
25;38;16;28;47.6
25;69;16;28;95.69
25;40;16;34;123.11
25;42;16;33;100.65
25;53;16;23;87.33
25;57;16;29;84.94
25;65;16;5;12.78
25;68;16;27;86.5
25;72;16;22;50.03
25;76;16;11;31.94
25;85;16;29;100
25;92;16;14;39.6
25;48;16;31;76.01
25;52;16;21;68.76
25;56;16;14;26.38
25;73;16;25;57.2
25;88;16;21;40.33
25;90;16;22;76.96
25;59;16;25;74.15
25;80;16;29;50.14
25;45;16;12;33.35
25;4;16;27;102.75
25;33;16;23;82.61
25;5;16;32;78.26
25;8;16;31;81.63
25;9;16;25;70.08
25;17;16;38;147.05
25;28;16;51;122.77
25;32;16;30;55.1
25;24;16;21;76.49
25;29;16;27;81.18
25;91;16;11;31.32
25;86;16;14;56.09
23;83;16;12;32.92
23;55;16;10;28.48
23;59;16;21;38.53
23;62;16;7;20.3
23;75;16;21;59.99
23;76;16;9;33.64
23;82;16;31;82.28
23;92;16;11;31.03
23;41;16;8;15.39
23;48;16;8;19.32
23;69;16;10;13
23;73;16;10;21.35
23;90;16;6;11.55
23;74;16;8;26.66
23;58;16;27;88.15
23;17;16;22;49.08
23;2;16;10;36.07
23;21;16;12;31.55
23;31;16;14;57
23;33;16;21;55.27
23;38;16;12;49.98
23;1;16;11;21.75
23;6;16;4;12.92
23;22;16;14;48.16
23;24;16;33;91.35
23;28;16;6;20.13
23;37;16;29;115.14
23;34;16;4;10.92
23;25;16;25;46.81
23;61;16;25;85.53
23;39;16;23;65.58
23;65;16;12;42.22
23;68;16;7;18.66
23;79;16;14;35.33
23;91;16;8;25.09
23;63;16;12;18.89
23;44;16;11;52.48
23;46;16;12;39.12
23;53;16;9;36.51
23;56;16;1;2.2
23;85;16;14;40.12
23;60;16;4;20.3
23;5;16;38;90.69
23;13;16;11;21.47
23;32;16;14;69.7
23;36;16;12;30.43
23;8;16;31;59.39
23;12;16;32;77.07
23;23;16;11;32.88
23;47;16;23;61.85
23;52;16;22;76.67
23;57;16;31;82.61
23;84;16;5;10.94
23;77;16;3;5.61
23;71;16;9;27.1
23;42;16;6;28.47
23;7;16;6;9.44
23;19;16;8;17.13
23;20;16;10;30.78
23;29;16;10;29.39
38;46;16;12;44.38
38;92;16;12;35.38
38;45;16;11;29.93
38;58;16;14;38.07
38;64;16;10;32.96
38;66;16;5;9.7
38;72;16;14;34.5
38;73;16;11;37.35
38;91;16;8;34.31
38;70;16;5;9.81
38;41;16;12;52.72
38;42;16;7;8.31
38;44;16;6;16.93
38;49;16;6;13
38;51;16;9;27.88
38;53;16;12;24.4
38;57;16;4;12.87
38;59;16;14;50.37
38;76;16;5;10.03
38;77;16;9;22.92
38;82;16;6;17.21
38;87;16;4;2.16
38;89;16;4;15.7
38;39;16;4;13.56
38;80;16;7;26.2
38;62;16;5;15.73
38;17;16;14;32.35
38;9;16;12;50.33
38;10;16;21;64.35
38;20;16;14;36.52
38;23;16;12;47.68
38;1;16;6;19.2
38;8;16;21;67.07
38;13;16;10;35.77
38;19;16;21;77.2
38;11;16;9;26.48
38;3;16;14;39
38;27;16;11;22.27
38;36;16;12;42.14
38;37;16;6;12.6
38;38;16;9;23.91
38;33;16;6;19.28
38;55;16;22;63.78
38;68;16;5;15.85
38;86;16;2;8.27
38;54;16;14;41.98
38;61;16;4;9.3
38;65;16;5;8.77
38;78;16;8;17.94
38;81;16;6;13.28
38;83;16;9;34.83
38;85;16;4;12
38;6;16;14;38.07
38;29;16;11;30.61
38;31;16;10;28.17
38;18;16;11;38.13
38;22;16;6;20.11
38;28;16;4;10.8
38;35;16;6;18.92
38;48;16;10;30.12
38;56;16;10;39.52
38;84;16;7;23.24
38;90;16;7;27.49
38;7;16;11;40.62
36;79;16;29;71.6
36;80;16;30;86.15
36;87;16;7;20.57
36;89;16;6;16.5
36;92;16;8;11.76
36;30;16;23;68.5
36;5;16;23;62.18
36;31;16;21;52.98
36;3;16;11;34.87
36;7;16;27;88.69
36;91;16;12;39.26
36;28;16;11;26.08
36;52;16;25;55.73
36;39;16;21;65.88
36;51;16;29;98.19
36;27;16;28;78.52
36;35;16;25;62.44
36;36;16;27;81.79
36;34;16;21;55.96
36;38;16;12;50.37
36;50;16;29;87.92
36;56;16;14;48.92
36;29;16;27;95.96
37;16;16;4;14.66
37;24;16;14;50.62
37;9;16;8;18.4
37;20;16;9;36.83
37;21;16;8;19.16
37;22;16;22;100.3
37;25;16;11;32.97
37;28;16;5;10.67
37;29;16;23;62.56
37;17;16;14;52.05
37;15;16;4;9.67
37;73;16;28;88.02
37;92;16;14;55.28
37;85;16;22;76.89
37;6;16;7;29.32
37;1;16;5;20.73
37;2;16;6;25.98
37;14;16;10;35.09
37;44;16;11;55.18
37;48;16;4;15.01
37;52;16;7;21.52
37;58;16;5;10.42
37;54;16;11;30.49
37;40;16;2;6.08
37;8;16;5;14.78
37;3;16;11;35.48
37;7;16;12;46.6
37;26;16;10;19.63
37;27;16;7;22.43
37;31;16;10;24.34
37;36;16;30;63.16
37;19;16;11;12.34
37;4;16;1;3.2
37;68;16;9;15.38
37;78;16;21;78.45
37;53;16;7;25.62
37;59;16;21;47.81
37;66;16;9;33.42
37;41;16;2;2.51
37;38;16;5;10.41
37;12;16;9;31.81
34;62;16;7;31.34
34;46;16;5;13.26
34;48;16;10;34.59
34;49;16;5;13.4
34;52;16;7;26.27
34;63;16;11;38.08
34;67;16;11;28.89
34;74;16;7;12.06
34;43;16;10;27.04
34;66;16;9;18.91
34;26;16;22;47.76
34;30;16;12;36.1
34;25;16;9;38.68
34;29;16;11;23.03
34;1;16;14;51.74
34;3;16;11;32.65
34;17;16;7;16.61
34;20;16;22;77.38
34;32;16;12;47.05
34;35;16;11;28.65
34;38;16;22;55.92
34;75;16;12;38.04
34;77;16;7;19.79
34;85;16;21;45.6
34;51;16;11;33.29
34;83;16;10;27.43
34;70;16;6;19.12
34;76;16;4;2.46
34;84;16;10;37.34
34;6;16;11;32.88
34;12;16;8;32.89
34;14;16;8;26.66
18;41;16;22;84.59
18;42;16;8;14.54
18;49;16;12;35
18;65;16;8;32.53
18;83;16;10;42.08
18;69;16;4;8.79
18;73;16;6;11.28
18;80;16;14;39.97
18;40;16;10;30.48
18;43;16;6;20.89
18;46;16;25;70.16
18;47;16;14;37.15
18;52;16;14;39.55
18;53;16;12;37.37
18;56;16;14;40.35
18;60;16;8;24.98
18;61;16;14;47.72
18;62;16;7;26.67
18;63;16;10;34.66
18;72;16;6;20.25
18;82;16;10;47.72
18;86;16;8;17.49
18;89;16;9;27.01
18;90;16;7;19.89
18;68;16;3;7.63
18;77;16;12;48.4
18;91;16;8;19.77
18;25;16;10;30.8
18;1;16;8;17.69
18;6;16;11;30.72
18;17;16;28;54.26
18;36;16;11;35.18
18;5;16;14;48.47
18;9;16;12;23.12
18;15;16;14;33.17
18;21;16;21;44.15
18;26;16;25;86.18
18;30;16;37;111.84
18;31;16;10;35.61
18;34;16;11;38
18;35;16;6;8.62
18;37;16;25;108.55
18;18;16;8;31.59
18;20;16;5;13.88
18;29;16;7;14.92
24;64;16;12;38.41
24;71;16;23;73.39
24;40;16;38;89.89
24;43;16;22;84.07
24;57;16;21;64.73
24;59;16;12;41.37
24;60;16;21;46.81
24;61;16;14;48.63
24;66;16;14;45.11
24;73;16;10;36.38
24;86;16;22;77.37
24;87;16;10;32.17
24;92;16;22;68.3
24;67;16;22;92.07
24;75;16;25;76.44
24;47;16;27;60.88
24;54;16;14;40.4
24;39;16;25;71.21
24;46;16;21;49.73
24;50;16;31;92.77
24;10;16;25;50.62
24;4;16;11;18.47
24;5;16;29;96.59
24;11;16;11;28.96
24;12;16;29;74.18
24;15;16;35;125.54
24;17;16;29;104.09
24;18;16;30;110.11
24;23;16;25;57.19
24;29;16;33;112.7
